id,video_id,title,channel,published_at,views,likes,url,tone,occasions,moods,description_keywords
4052,hErPFWkSoio,5분이면 끝! 8가지 아이템으로 완성하는 모델 메구의 레드 포인트 메이크업,Harper's BAZAAR Korea,2021-12-30,58611,334,https://www.youtube.com/watch?v=hErPFWkSoio,봄웜,출근/등교,"내추럴(자연스러운), 러블리, 글램(글로우)","파티, 글로우, 러블리, 다크, 5분, 내추럴, 화사한, 간단, 데일리"
4053,KlqnyHAhwUg,[ENG] 1분 1초가 진심인 댄서 노제의 고양이상 메이크업 노하우는? B밀인데.. #품절각,Harper's BAZAAR Korea,2021-08-18,4114929,117541,https://www.youtube.com/watch?v=KlqnyHAhwUg,가을웜,데일리,내추럴(자연스러운),"아이돌, 고양이, 내추럴"
4054,oEMC0Ntm8Yg,[ENG]인형 미모 비법! ‘그냥 대충~‘ 배우 이열음의 꾸안꾸 음영 메이크업의 비결은? 번지면 더 예쁜 뷰티템은?,Harper's BAZAAR Korea,2023-08-16,35648,202,https://www.youtube.com/watch?v=oEMC0Ntm8Yg,미분류,격식있는,"내추럴(자연스러운), 글램(글로우)","글로우, 꾸안꾸, 배우, 데일리"
4055,QWbkyV4z3RA,[ENG] 산소 같은 신지연의 내추럴한 핑크 메이크업 팁은? 솔로지옥에서 사용한 뷰티템부터 핑크 러버의 기승전핑크 메이크업💖,Harper's BAZAAR Korea,2022-03-01,223277,2442,https://www.youtube.com/watch?v=QWbkyV4z3RA,여쿨,데이트,"내추럴(자연스러운), 러블리, 글램(글로우), 청순","핑크, 러블리, 글로우, 내추럴, 청순, 데일리, 글램"
4056,RdobxZQ_JTk,[ENG] 고양이상 봄 메이크업의 교과서! 박나언의 첫 셀프 봄 그 자체 메이크업. 그녀가 좋아하는 립은? 향수는?,Harper's BAZAAR Korea,2023-02-28,118940,523,https://www.youtube.com/watch?v=RdobxZQ_JTk,봄웜,데일리,시크,"고양이, 개강"
4057,X3O9Jihcsok,[ENG] 우주힙스터! 메이크업 아티스트 최민석의 페스티벌 메이크업 추천 #잘봐이게메이크업이다,Harper's BAZAAR Korea,2022-06-22,26797,267,https://www.youtube.com/watch?v=X3O9Jihcsok,여쿨,야외/여행,내추럴(자연스러운),"누드, 셀럽, 힙, 페스티벌, 핫한, 힙한, 데일리"
4058,nPJWofJ0hhg,고혹적인 🍊레드오렌지 메이크업 (With Sub) 🍊Red Orange Makeup | HARRY BLOOM,Harry 해리,2019-11-15,4921,159,https://www.youtube.com/watch?v=nPJWofJ0hhg,봄웜,데일리,"러블리, 고혹적","고혹, 상큼, 고혹적"
4059,pH9VA3Zrmfg,꾸안꾸✨ 클린걸 메이크업🤍,Harry 해리,2024-08-23,8902,237,https://www.youtube.com/watch?v=pH9VA3Zrmfg,봄웜,파티,"내추럴(자연스러운), 힙·트렌디","자연스러운, 핫걸, 꾸안꾸, 힙, 클린걸, 데일리, 힙한"
4060,CgsO2P6YUh4,"20분컷 데일리 메이크업 같이준비해🍎요/ No 아이라인, 촉촉립, 꾸안꾸 메이크업&스타일링,여름메이크업, 썸머 비치룩","hello,jiyoung안녕하신지영",2021-06-13,9756,148,https://www.youtube.com/watch?v=CgsO2P6YUh4,여쿨,출근/등교,"내추럴(자연스러운), 글램(글로우)","퀵, 촉촉, 데일리, 꾸안꾸"
4061,Gc0_-wTAcKI,"메이크업 잘먹는 스킨케어부터 촉촉 퍼플 메이크업 & 스타일링 같이해요 💜/ 여름 쿨톤 메이크업, 여름 데일리룩 / Purple Glitter 'GRWM'","hello,jiyoung안녕하신지영",2020-05-23,109025,1511,https://www.youtube.com/watch?v=Gc0_-wTAcKI,여쿨,데일리,"내추럴(자연스러운), 글램(글로우)","촉촉, 데일리"
4062,i174M76oMGo,화려하게 쿨톤 바이올렛 메이크업💜스타일링 /애쉬 바이올렛 염색 / 인생머리 인생 메이크업 /화려한 파티 글리터 메이크업/ Glam violet makeup,"hello,jiyoung안녕하신지영",2021-01-06,8137,127,https://www.youtube.com/watch?v=i174M76oMGo,겨쿨,파티,"글램(글로우), 고혹적","파티, 화려한"
4063,eD7xz-xGKQ0,남편이 더빙해준 크리스마스 메이크업🎄🎅🏻❤️내가 그렇게 매혹적인가?ㅋㅋ남편의 표현력의 한계😂,HEYJOO,2019-12-14,8456,292,https://www.youtube.com/watch?v=eD7xz-xGKQ0,봄웜,파티,고혹적,"매혹적인, 연말"
4064,QUhvlrvJRfQ,💚데일리 꾸안꾸 메이크업부터 초간단 웨이브 스타일링 🧡,HEYJOO,2020-04-16,7639,199,https://www.youtube.com/watch?v=QUhvlrvJRfQ,여쿨,출근/등교,내추럴(자연스러운),"초간단, 간단, 데일리, 꾸안꾸"
4065,2MCesqN7Ji4,건조한 계절에 딱‼️ 쉽고 간편한 출근 메이크업 ✨ 드뮤어 종결 (feat.욕실 인테리어 바꿨어요~),Hong's MakeuPlay 홍이모,2024-11-15,82821,1871,https://www.youtube.com/watch?v=2MCesqN7Ji4,미분류,출근/등교,글램(글로우),"글로우, 출근"
4066,96dm6nQqirg,GRWM} 가을무드 🍁출근메이크업 ✔️ 눈썹모양으로 인상바꾸기l 음영눈매 l 가을 수트자켓,Hong's MakeuPlay 홍이모,2021-10-15,43013,1326,https://www.youtube.com/watch?v=96dm6nQqirg,가을웜,출근/등교,내추럴(자연스러운),"다크, 데일리, 출근"
4067,9R6kt24smTI,GRWM] 신상으로 데일리 꾸안꾸 메이크업 l샤넬립신상 l ysl 쿠션 같이 발라봐요!,Hong's MakeuPlay 홍이모,2021-08-17,28277,775,https://www.youtube.com/watch?v=9R6kt24smTI,미분류,데일리,내추럴(자연스러운),"꾸안꾸, 데일리"
4068,Bp0I4hqmKBk,GRWM] 요즘 신상으로 하는 요즘 스모키 메이크업 ㅣ아르마니프리마쿠션ㅣ발렌티노립밤ㅣ메이크업포에버컨실러,Hong's MakeuPlay 홍이모,2025-08-29,41943,1260,https://www.youtube.com/watch?v=Bp0I4hqmKBk,여쿨,데일리,청순,"글로우, 다크, 퓨어, 글로시, 맑은, 내추럴, 스모키"
4069,DRJ4JKs2DBM,내추럴 요가 메이크업🌿운동할때도 꾸안꾸 메이크업으로 아름답게🌿 Natural Yoga Makeup,Hong's MakeuPlay 홍이모,2020-05-16,16475,343,https://www.youtube.com/watch?v=DRJ4JKs2DBM,미분류,데일리,"내추럴(자연스러운), 글램(글로우)","누드, 퓨어, 글로시, 꾸안꾸, 네추럴, 내추럴"
